Study ID	Reported Trait	Trait	Citation	P-Value Annotation	Beta Annotation	Score Type	Units (if applicable)	Used Super Population	SNPs Excluded Due To Cutoffs	SNP Overlap	Included SNPs	Polygenic Risk Score	Percentile
GCST90060444	Phosphatidylinositol_34:2_[M-H]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	14	22	0.027256412832951032	82
GCST90060458	Phosphatidylinositol_34:0_[M+H]1+ Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	12	15	-0.0577959808188195	7-8
GCST90060469	Phosphatidylinositol_35:2_[M-H]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	8	8	0.0741184	88-100
GCST90060478	Phosphatidylinositol_35:0_[M-H]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	5	5	-0.0531528	0-11
GCST90060479	Phosphatidylinositol-O_36:1_[M+H]1+ Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	3	3	-0.0962364	0-11
GCST90060480	Phosphatidylinositol-O_36:0_[M-H]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	14	15	-0.08291132512981912	6
GCST90060488	Phosphatidylinositol_36:4_[M-H]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	11	15	-0.04859358908254326	7-8
GCST90060492	Phosphatidylinositol_36:3_[M-H]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	17	24	0.036507849113184894	93
GCST90060495	Phosphatidylinositol_36:2_[M-H]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	17	27	0.02577939750145302	87
GCST90060498	Phosphatidylinositol_36:2_[M+H]1+ Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	13	18	0.028171505550907965	78
GCST90060521	Phosphatidylinositol_38:4_[M-H]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	16	23	-0.030891839469549466	9-10
GCST90060535	Phosphatidylinositol_38:0_[M-H]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	12	12	-0.0962677	0-6
GCST90060825	Phosphatidylinositol-O(33:0)_[M-H]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	30	30	0.04825	44-89
GCST90060867	Phosphatidylinositol(34:2)_[M-H]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	36	41	-0.011991999636945645	26-30
GCST90060898	Phosphatidylinositol-O(36:0)_[M-H]1-/Phosphatidylglycerol(37:0)_[M+Oac]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	41	41	-0.0395625	80
GCST90060903	Phosphatidylinositol(36:4)_[M-H]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	35	36	-0.06033652062099975	44
GCST90060907	Phosphatidylinositol(36:3)_[M-H]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	6	7	-0.0019136891600315118	71-97
GCST90060912	Phosphatidylinositol(36:2)_[M-H]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	255	266	0.0073841445468363675	90-91
GCST90060946	Phosphatidylinositol(38:4)_[M-H]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	47	52	-0.04772828430554802	0
GCST90060976	Phosphatidylinositol(40:6)_[M-H]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	24	29	-0.04161885726463221	35-55
GCST90060988	Phosphatidylinositol(36:1)_[M+Oac]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	41	42	-0.01954178722031998	0
GCST90060992	Phosphatidylinositol(36:0)_[M+Oac]1- Levels	Phosphatidylinositol Measurement	Harshfield et al. 2021	NA	NA	beta	NA	EUR	0	34	34	NF	NA
GCST008931	Phosphatidylinositol Levels	Phosphatidylinositol Measurement	Tabassum et al. 2019	(pi(18:0;0-18:1;0))	NA	beta	unit	EUR	0	1	2	0.0011829186313008153	84-85
GCST008931	Phosphatidylinositol Levels	Phosphatidylinositol Measurement	Tabassum et al. 2019	(pi(18:0;0-20:3;0))	NA	beta	unit	EUR	0	1	2	0.08944318006901861	94-97
GCST008931	Phosphatidylinositol Levels	Phosphatidylinositol Measurement	Tabassum et al. 2019	(pi(18:0;0-20:4;0))	NA	beta	unit	EUR	0	1	2	-0.19557556000024826	10-14
GCST008931	Phosphatidylinositol Levels	Phosphatidylinositol Measurement	Tabassum et al. 2019	(total_pi)	NA	beta	unit	EUR	0	1	1	-0.0932	59-94
GCST90060455	Phosphatidylserine_40:5_[M+H]1+/Phosphatidylglycerol_40:7_[M+Nh4]1+ Levels	Phosphatidylserines Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	13	15	-0.07814173764915607	7
GCST90060461	Phosphatidylserine_40:3_[M+H]1+/Phosphatidylglycerol_40:5_[M+Nh4]1+ Levels	Phosphatidylserines Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	10	10	0.12369350000000001	93-96
GCST90060475	Phosphatidylserine-O_42:6_[M+H]1+ Levels	Phosphatidylserines Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	1	1	-0.0917558	0-9
GCST90060482	Phosphatidylserine-P_42:1_[M+H]1+/Phosphatidylglycerol-P_42:6_[M+Nh4]1+ Levels	Phosphatidylserines Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	11	11	-0.112639	0-6
GCST90060864	Phosphatidylserine(35:2)_[M+Oac]1- Levels	Phosphatidylserines Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	34	34	-0.1372	0-11
GCST90060985	Phosphatidylserine(42:7)_[M+Oac]1- Levels	Phosphatidylserines Measurement	Harshfield et al. 2021	NA	NA	beta	NA	EUR	0	37	37	NF	NA
GCST90060989	Phosphatidylserine(42:5)_[M+Oac]1- Levels	Phosphatidylserines Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	33	33	0.02093333333333333	88-100
GCST90061008	Phosphatidylserine(44:6)_[M+Oac]1- Levels	Phosphatidylserines Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	40	41	0.01939987901842658	1-12
GCST001762	Obesity-Related Traits	Physical Activity	Comuzzie et al. 2012	(calorimeter activity )	NA	beta	counts/d	EUR	0	3	6	0.011465458741071279	65-69
GCST001762	Obesity-Related Traits	Physical Activity	Comuzzie et al. 2012	(moderate&vigorous activity )	NA	beta	min/d	EUR	0	2	4	0.002426106719408136	0-47
GCST001762	Obesity-Related Traits	Physical Activity	Comuzzie et al. 2012	(sedentary&light activity )	NA	beta	min/d	EUR	0	6	8	0.010388899385413002	89-90
GCST006912	Physical Activity (Overall Physical Activity Time)	Physical Activity Measurement	Doherty et al. 2018	NA	NA	beta	SD units	EUR	0	6	7	0.001372670158487244	84
GCST006913	Sedentary Behaviour Duration	Physical Activity Measurement	Doherty et al. 2018	NA	NA	beta	SD units	EUR	0	3	6	0.015408228799338864	48-58
GCST006915	Physical Activity (Moderate Intensity Activity Duration)	Physical Activity Measurement	Doherty et al. 2018	NA	NA	beta	SD units	EUR	0	1	2	0.014556478400044008	62-92
GCST007110	Physical Activity (Walking Duration)	Physical Activity Measurement	Doherty et al. 2018	NA	NA	beta	NA	EUR	0	1	1	NF	NA
GCST004557	Body Mass Index	Physical Activity Measurement	Graff et al. 2017	(ea, men)	NA	beta	kg/m2	EUR	0	13	21	0.02259169736676286	79
GCST004557	Body Mass Index	Physical Activity Measurement	Graff et al. 2017	(men)	NA	beta	kg/m2	EUR	0	20	31	0.020152287973150634	79
GCST004557	Body Mass Index	Physical Activity Measurement	Graff et al. 2017	(women)	NA	beta	kg/m2	EUR	0	22	43	0.01831266140139152	78
GCST004557	Body Mass Index	Physical Activity Measurement	Graff et al. 2017	NA	NA	beta	kg/m2	EUR	0	35	62	0.01591274031505269	87
GCST004576	Waist-To-Hip Ratio Adjusted For Body Mass Index	Physical Activity Measurement	Graff et al. 2017	(ea, men)	NA	beta	unit	EUR	0	7	12	0.024196018817995674	83
GCST004576	Waist-To-Hip Ratio Adjusted For Body Mass Index	Physical Activity Measurement	Graff et al. 2017	(ea, women)	NA	beta	unit	EUR	0	24	34	0.01956169590441446	23
GCST004576	Waist-To-Hip Ratio Adjusted For Body Mass Index	Physical Activity Measurement	Graff et al. 2017	(ea)	NA	beta	unit	EUR	0	26	39	0.01663587042269692	54
GCST004576	Waist-To-Hip Ratio Adjusted For Body Mass Index	Physical Activity Measurement	Graff et al. 2017	(men)	NA	beta	unit	EUR	0	6	11	0.018744002327563073	87
GCST004576	Waist-To-Hip Ratio Adjusted For Body Mass Index	Physical Activity Measurement	Graff et al. 2017	(women)	NA	beta	unit	EUR	0	15	21	0.021724316818099908	56
GCST004576	Waist-To-Hip Ratio Adjusted For Body Mass Index	Physical Activity Measurement	Graff et al. 2017	NA	NA	beta	unit	EUR	0	18	26	0.01637703874894088	80
GCST90093324	Physical Activity	Physical Activity Measurement	Hanscombe et al. 2021	NA	NA	beta	unit	EUR	0	3	3	-0.18366666666666664	97-98
GCST006079	Accelerometer-Based Physical Activity Measurement (Fraction Of Time With Accelerations >425 Milli-Gravities)	Physical Activity Measurement	Klimentidis et al. 2018	(model 2)	NA	beta	fraction of time	EUR	0	1	1	-0.012	21-67
GCST006079	Accelerometer-Based Physical Activity Measurement (Fraction Of Time With Accelerations >425 Milli-Gravities)	Physical Activity Measurement	Klimentidis et al. 2018	NA	NA	beta	NA	EUR	0	1	1	NF	NA
GCST006098	Vigorous Physical Activity	Physical Activity Measurement	Klimentidis et al. 2018	(model 2)	NA	OR	NA	EUR	0	1	1	NF	NA
GCST006098	Vigorous Physical Activity	Physical Activity Measurement	Klimentidis et al. 2018	(model 3)	NA	OR	NA	EUR	0	1	2	1.0234019716505491	55-56
GCST006099	Accelerometer-Based Physical Activity Measurement (Average Acceleration)	Physical Activity Measurement	Klimentidis et al. 2018	(model 3)	NA	beta	milli-gravities	EUR	0	1	2	0.21286578863008276	21-28
GCST006099	Accelerometer-Based Physical Activity Measurement (Average Acceleration)	Physical Activity Measurement	Klimentidis et al. 2018	NA	NA	beta	milli-gravities	EUR	0	2	2	-0.075	95-98
GCST90061412	Physical Activity (Total Log Acceleration 6am-8am)	Physical Activity Measurement	Qi et al. 2022	NA	NA	beta	unit	EUR	0	1	1	0.015	28-76
GCST90061418	Physical Activity (Total Log Acceleration 6pm-8pm)	Physical Activity Measurement	Qi et al. 2022	NA	NA	beta	unit	EUR	0	2	2	-0.00725	6-13
GCST90061419	Physical Activity (Total Log Acceleration 8pm-10pm)	Physical Activity Measurement	Qi et al. 2022	NA	NA	beta	unit	EUR	0	1	1	-0.0155	16-62
GCST90061420	Physical Activity (Total Log Acceleration 10pm-12am)	Physical Activity Measurement	Qi et al. 2022	NA	NA	beta	unit	EUR	0	1	1	0.016	55-93
GCST90061422	Moderate To Vigorous Physical Activity Duration	Physical Activity Measurement	Qi et al. 2022	NA	NA	beta	unit	EUR	0	1	1	0.0175	63-96
GCST90061423	Physical Activity (Principal Component 2)	Physical Activity Measurement	Qi et al. 2022	NA	NA	beta	unit	EUR	0	1	1	-0.0145	25-72
GCST90061429	Active To Sedentary Transition Probability	Physical Activity Measurement	Qi et al. 2022	NA	NA	beta	unit	EUR	0	1	1	-0.016	8-45
GCST90061434	Mid-Point Of The Five Least Active Hours Of The Day	Physical Activity Measurement	Qi et al. 2022	NA	NA	beta	unit	EUR	0	1	2	0.002570739222758618	6-88
GCST004580	Body Mass Index (Recreational Physical Activity Interaction)	Physical Activity Measurement	Velez Edwards et al. 2012	(aa)	NA	beta	unit	EUR	0	1	1	-0.02	8-42
GCST001897	Pit-And-Fissure Caries	Pit And Fissure Surface Dental Caries	Zeng et al. 2013	NA	NA	beta	unit	EUR	0	5	7	-0.002807049174784217	64
GCST002940	Sporadic Pituitary Adenoma	Pituitary Gland Adenoma	Ye et al. 2015	NA	NA	OR	NA	EUR	0	2	4	1.036398606214002	0-36
GCST009731	Blood Protein Levels In Cardiovascular Risk	Placenta Growth Factor Measurement	Folkersen et al. 2017	NA	NA	beta	NA	EUR	0	1	1	NF	NA
GCST90011999	Placenta Growth Factor Levels	Placenta Growth Factor Measurement	Folkersen et al. 2020	NA	NA	beta	unit	EUR	0	2	2	0.05615	95-100
GCST002360	Plasma Amyloid Beta Peptide Concentrations (Abx-40)	Plasma Beta-Amyloid 1-40 Measurement	Chouraki et al. 2014	NA	NA	beta	unit	EUR	0	5	10	0.006027501178957605	65
GCST011942	Plasma Amyloid Beta Peptide Concentrations (Abx-40)	Plasma Beta-Amyloid 1-40 Measurement	Damotte et al. 2021	NA	NA	beta	unit	EUR	0	1	1	-0.0365	18-63
GCST002359	Plasma Amyloid Beta Peptide Concentrations (Abx-42)	Plasma Beta-Amyloid 1-42 Measurement	Chouraki et al. 2014	NA	NA	beta	unit	EUR	0	5	8	0.01576520661948792	76
GCST003358	Betaine Levels In Individuals Undergoing Cardiac Evaluation	Plasma Betaine Measurement	Hartiala et al. 2016	NA	NA	beta	unit	EUR	0	1	2	0.02183500391542678	89-94
GCST004365	Blood Protein Levels	Plasma Kallikrein Measurement	Suhre et al. 2017	(plasma kallikrein)	NA	beta	unit	EUR	0	1	2	0.2147695347746964	35-52
GCST004365	Blood Protein Levels	Plasma Plasminogen Measurement	Suhre et al. 2017	(ea, plasminogen)	NA	beta	unit	EUR	0	3	3	0.16759999999999997	93
GCST004365	Blood Protein Levels	Plasma Protease C1 Inhibitor Measurement	Suhre et al. 2017	(ea, plasma protease c1 inhibitor)	NA	beta	unit	EUR	0	2	2	0.026499999999999996	37-61
GCST004365	Blood Protein Levels	Plasma Protease C1 Inhibitor Measurement	Suhre et al. 2017	(plasma protease c1 inhibitor)	NA	beta	unit	EUR	0	1	1	-0.468	8-45
GCST006043	Plasma Renin Activity Levels	Plasma Renin Activity Measurement	McDonough et al. 2018	(aa)	NA	beta	unit	EUR	0	1	2	-0.283015422920336	20-66
GCST008171	Platelet Aggregation	Platelet Aggregation	Chen et al. 2017	(adp high 1)	NA	beta	unit	EUR	0	2	2	-0.07125000000000001	4-18
GCST008171	Platelet Aggregation	Platelet Aggregation	Chen et al. 2017	(adp low 1)	NA	beta	unit	EUR	0	1	2	-0.042642925653814355	20-58
GCST008171	Platelet Aggregation	Platelet Aggregation	Chen et al. 2017	(collagen 1)	NA	beta	unit	EUR	0	1	2	-0.05795528037028451	71-76
GCST008171	Platelet Aggregation	Platelet Aggregation	Chen et al. 2017	(collagen 2)	NA	beta	unit	EUR	0	1	1	-0.099	71-98
GCST008171	Platelet Aggregation	Platelet Aggregation	Chen et al. 2017	(collagen 3)	NA	beta	unit	EUR	0	1	2	-0.018363792523322302	61-78
GCST008171	Platelet Aggregation	Platelet Aggregation	Chen et al. 2017	(collagen 4)	NA	beta	unit	EUR	0	1	2	-0.021613792523322305	61-78
GCST008171	Platelet Aggregation	Platelet Aggregation	Chen et al. 2017	(ephinephrine high 1)	NA	beta	unit	EUR	0	1	1	-0.0745	50-91
GCST008171	Platelet Aggregation	Platelet Aggregation	Chen et al. 2017	(ephinephrine high 2)	NA	beta	unit	EUR	0	3	5	-0.04053027826732784	26-27
GCST008171	Platelet Aggregation	Platelet Aggregation	Chen et al. 2017	(ephinephrine low 1)	NA	beta	unit	EUR	0	2	4	-0.028016745740084042	15-16
GCST008171	Platelet Aggregation	Platelet Aggregation	Chen et al. 2017	(ephinephrine low 2)	NA	beta	unit	EUR	0	3	6	-0.03554477382786667	27
GCST008171	Platelet Aggregation	Platelet Aggregation	Chen et al. 2017	(ephinephrinehigh 2)	NA	beta	unit	EUR	0	1	1	0.0575	29-78
GCST90002357	Platelet Count	Platelet Count	Chen et al. 2020	NA	NA	beta	SD unit	EUR	0	277	527	0.0036825073310537797	51
GCST001337	Platelet Count	Platelet Count	Gieger et al. 2011	NA	NA	beta	10^9/l	EUR	0	29	56	1.7089493839316352	32
GCST001783	Platelet Count	Platelet Count	Li et al. 2012	(aa)	NA	beta	unit	EUR	0	1	2	1.1458712359640462	22-41
GCST001783	Platelet Count	Platelet Count	Li et al. 2012	(ea)	NA	beta	unit	EUR	0	1	2	-4.104061684334922	54-56
GCST001783	Platelet Count	Platelet Count	Li et al. 2012	NA	NA	beta	unit	EUR	0	3	4	-2.7168523635694046	61
GCST002733	Platelet Count	Platelet Count	Oh et al. 2014	NA	NA	beta	unit	EUR	0	3	3	-2.316666666666667	86-94
GCST008168	Platelet Count	Platelet Count	Read et al. 2019	NA	NA	beta	NA	EUR	0	1	1	NF	NA
GCST003383	Platelet Count	Platelet Count	Schick et al. 2016	NA	NA	beta	unit	EUR	0	6	11	1.718571693614718	41
GCST002186	Platelet Count	Platelet Count	Shameer et al. 2013	NA	NA	beta	unit	EUR	0	4	8	-1.573103166996738	40
GCST000498	Hematological Parameters	Platelet Count	Soranzo et al. 2009	(plt)	NA	beta	10^9/l	EUR	0	2	3	3.6282762149789334	60-62
GCST009731	Blood Protein Levels In Cardiovascular Risk	Platelet Endothelial Cell Adhesion Molecule Measurement	Folkersen et al. 2017	NA	NA	beta	NA	EUR	0	1	1	NF	NA
GCST90012081	Platelet Endothelial Cell Adhesion Molecule Levels	Platelet Endothelial Cell Adhesion Molecule Measurement	Folkersen et al. 2020	NA	NA	beta	unit	EUR	0	1	2	-0.0115165197503534	33
GCST004365	Blood Protein Levels	Platelet Glycoprotein 4 Measurement	Suhre et al. 2017	(ea, platelet glycoprotein 4)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST004365	Blood Protein Levels	Platelet Glycoprotein Vi Measurement	Suhre et al. 2017	(ea, platelet glycoprotein vi)	NA	beta	unit	EUR	0	1	2	-0.13685194624390887	3-27
GCST90012016	Platelet-Derived Growth Factor Subunit B Levels	Platelet-Derived Growth Factor Bb Measurement	Folkersen et al. 2020	NA	NA	beta	unit	EUR	0	4	8	0.00014191001527775852	79
GCST004365	Blood Protein Levels	Platelet-Derived Growth Factor Receptor Beta Measurement	Suhre et al. 2017	(platelet-derived growth factor receptor beta)	NA	beta	unit	EUR	0	1	2	-0.21701164971478357	44
GCST004365	Blood Protein Levels	Plexin-C1 Measurement	Suhre et al. 2017	(plexin-c1)	NA	beta	unit	EUR	0	1	1	-0.4635	0-16
GCST90018902	Pneumothorax	Pneumothorax	Sakaue et al. 2021	NA	NA	beta	unit	EUR	0	2	2	-0.10642499999999999	71-88
GCST005528	Juvenile Idiopathic Arthritis (Oligoarticular Or Rheumatoid Factor-Negative Polyarticular)	Polyarticular Juvenile Idiopathic Arthritis, Rheumatoid Factor Negative	Hinks et al. 2013	(additive model)	NA	OR	NA	EUR	0	9	11	1.0453902648553703	42
GCST003144	Polycystic Ovary Syndrome	Polycystic Ovary Syndrome	Day et al. 2015	NA	NA	OR	NA	EUR	0	5	9	1.0656548570834816	89
GCST006659	Polycystic Ovary Syndrome	Polycystic Ovary Syndrome	Kim et al. 2018	NA	NA	beta	unit	EUR	0	3	3	0.015833333333333366	40-44
GCST002741	Polycystic Ovary Syndrome	Polycystic Ovary Syndrome	Lee et al. 2015	NA	NA	OR	NA	EUR	0	2	3	1.0	0-27
GCST006052	Polymyositis	Polymyositis	Rothwell et al. 2015	NA	NA	OR	NA	EUR	0	3	5	1.1669939930508586	83-85
GCST90018827	Colon Polyp	Polyp Of Colon	Sakaue et al. 2021	NA	NA	beta	unit	EUR	0	26	37	0.0053045105334487185	83
GCST90018846	Gallbladder Polyp	Polyp Of Gallbladder	Sakaue et al. 2021	NA	NA	beta	unit	EUR	0	2	3	0.016643554871769578	84
GCST004413	Spontaneous Dizygotic Twinning	Positive Regulation Of Ovulation	Mbarek et al. 2016	NA	NA	OR	NA	EUR	0	2	3	1.0645664181821557	69
GCST002681	Post-Traumatic Stress Disorder	Post-Traumatic Stress Disorder	Nievergelt et al. 2014	(hispanic)	NA	OR	NA	EUR	0	2	2	NF	NA
GCST002681	Post-Traumatic Stress Disorder	Post-Traumatic Stress Disorder	Nievergelt et al. 2014	NA	NA	OR	NA	EUR	0	1	1	1.43	96-100
GCST009315	Post-Traumatic Stress Disorder	Post-Traumatic Stress Disorder	Nievergelt et al. 2019	(african, male)	NA	OR	NA	EUR	0	1	1	1.1470788987685199	0-1
GCST009977	Post-Traumatic Stress Disorder	Post-Traumatic Stress Disorder	Shen et al. 2020	NA	NA	OR	NA	EUR	0	1	2	1.0300477321926922	0-26
GCST005550	Post Traumatic Stress Disorder Symptom Count In Trauma-Exposed Individuals	Post-Traumatic Stress Disorder Symptom Measurement	Melroy-Greif et al. 2017	(hispanic)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST007251	Postburn Scar Height	Postburn Hypertrophic Scarring Severity Measurement	Wallace et al. 2018	NA	NA	beta	unit	EUR	0	2	2	-0.12335000000000002	27-31
GCST90012857	Falling Risk	Postural Instability	Trajanoska et al. 2020	NA	NA	OR	NA	EUR	0	8	16	1.0099410629688037	14
GCST008648	Urinary Potassium Excretion	Potassium Measurement	Pazoki et al. 2019	(ea)	NA	beta	unit	EUR	0	9	13	0.0014824942062967603	13
GCST90019517	Urinary Potassium Excretion	Potassium Measurement	Sinnott-Armstrong et al. 2021	NA	NA	beta	unit	EUR	0	1	1	0.00945	4-32
GCST001735	Pr Interval	Pr Interval	Butler et al. 2012	NA	NA	beta	unit	EUR	0	6	6	0.6691666666666665	84
GCST000561	Electrocardiographic Traits	Pr Interval	Holm et al. 2010	(pr interval)	NA	beta	% s.d.	EUR	0	3	5	2.4217381275273953	55
GCST001925	Pr Interval	Pr Interval	Jeff et al. 2013	NA	NA	beta	ms	EUR	0	6	8	-0.6294123274761609	31
GCST010320	Pr Interval	Pr Interval	Ntalla et al. 2020	NA	NA	beta	ms	EUR	0	83	146	0.27098733178759377	26
GCST010321	Pr Interval	Pr Interval	Ntalla et al. 2020	(aa)	NA	beta	ms	EUR	0	4	5	2.1141919620277836	83
GCST010321	Pr Interval	Pr Interval	Ntalla et al. 2020	NA	NA	beta	ms	EUR	0	109	197	0.3476762441304026	33
GCST000562	Pr Interval	Pr Interval	Pfeufer et al. 2010	NA	NA	beta	ms	EUR	0	5	9	0.13116326329632816	34
GCST002542	Electrocardiographic Traits	Pr Interval	Sano et al. 2014	(pr)	NA	beta	unit	EUR	0	2	4	-0.202040287343571	4
GCST000344	Electrocardiographic Conduction Measures	Pr Interval	Smith et al. 2009	(pr interval)	NA	beta	ms	EUR	0	2	3	0.32374541442559646	34
GCST000971	Pr Interval	Pr Interval	Smith et al. 2011	NA	NA	beta	unit	EUR	0	4	5	1.3528362525154658	66
GCST007045	Pr Interval	Pr Interval	van Setten et al. 2018	NA	NA	beta	ms	EUR	0	27	44	0.07504016548580993	50
GCST007226	Pr Interval	Pr Interval	van Setten et al. 2019	NA	NA	beta	unit	EUR	0	9	15	-0.007521943727268917	46
GCST002456	Pr Segment Duration	Pr Segment	Verweij et al. 2014	NA	NA	beta	unit	EUR	0	4	8	0.32146811649204377	44
GCST90013475	Preeclampsia (Fetal Genotype Effect)	Preeclampsia	Steinthorsdottir et al. 2020	NA	NA	OR	NA	EUR	0	2	4	1.0468856231122319	58-67
GCST90013478	Preeclampsia (Maternal Genotype Effect)	Preeclampsia	Steinthorsdottir et al. 2020	NA	NA	OR	NA	EUR	0	7	12	1.040117500000932	62
GCST006885	Presubiculum Volume	Presubiculum Volume	van der Meer et al. 2018	NA	NA	beta	mm3	EUR	0	1	1	3.39	82-99
GCST003467	Glaucoma (Primary Angle Closure)	Primary Angle Closure Glaucoma	Khor et al. 2016	(asian)	NA	OR	NA	EUR	0	5	8	1.063802924030097	21
GCST003467	Glaucoma (Primary Angle Closure)	Primary Angle Closure Glaucoma	Khor et al. 2016	NA	NA	OR	NA	EUR	0	5	8	1.063454910443078	21
GCST003129	Primary Biliary Cholangitis	Primary Biliary Cirrhosis	Cordell et al. 2015	NA	NA	OR	NA	EUR	0	17	30	1.1616448244969244	90
GCST90061440	Primary Biliary Cholangitis	Primary Biliary Cirrhosis	Cordell et al. 2021	NA	NA	beta	unit	EUR	0	30	55	-0.000616629419621633	78
GCST90061441	Primary Biliary Cholangitis	Primary Biliary Cirrhosis	Cordell et al. 2021	NA	NA	beta	unit	EUR	0	10	20	-0.0016960264102481829	34
GCST90061442	Primary Biliary Cholangitis	Primary Biliary Cirrhosis	Cordell et al. 2021	NA	NA	beta	unit	EUR	0	26	48	0.01766013342520344	68
GCST009731	Blood Protein Levels In Cardiovascular Risk	Pro‐Adrenomedullin Measurement	Folkersen et al. 2017	NA	NA	beta	unit	EUR	0	1	1	-0.095	29-78
GCST008885	Progesterone Levels	Progesterone Measurement	Pott et al. 2019	(men)	NA	beta	unit	EUR	0	1	1	0.0475734	52-92
GCST002925	Sex Hormone Levels	Progesterone Measurement	Ruth et al. 2015	(progesterone)	NA	beta	unit	EUR	0	1	2	-0.07887137566443145	1-6
GCST004365	Blood Protein Levels	Programmed Cell Death 1 Ligand 2 Measurement	Suhre et al. 2017	(programmed cell death 1 ligand 2)	NA	beta	unit	EUR	0	1	1	0.5243	93-100
GCST000911	Progranulin Levels	Progranulin Measurement	Carrasquillo et al. 2010	NA	NA	beta	NA	EUR	0	1	1	NF	NA
GCST001628	Orofacial Clefts	Progranulin Measurement	Ludwig et al. 2012	(meta-all, nscl/p)	NA	OR	NA	EUR	0	8	12	1.1340495493761966	90
GCST001628	Orofacial Clefts	Progranulin Measurement	Ludwig et al. 2012	(meta-all, nsclp)	NA	OR	NA	EUR	0	1	1	1.1636150566231085	0-27
